KUBE,SMAL
KUNF,SMAL
KUZB,SMAL
KZMS,SMAL
KZOS,SMAL
KZOSP,SMAL
LIFE,SMAL
LPSB,SMAL
LSNG,SMAL
LSNGP,SMAL
LVHK,SMAL
MAGE,SMAL
MAGEP,SMAL
MAGN,SMAL
MDMG,SMAL
MERF,SMAL
MFGS,SMAL
MFGSP,SMAL
MISB,SMAL
MISBP,SMAL
MOBB,SMAL
MOEX,SMAL
MORI,SMAL
MRKC,SMAL
MRKK,SMAL
MRKP,SMAL
MRKS,SMAL
MRKU,SMAL
MRKV,SMAL
MRKY,SMAL
MRKZ,SMAL
MRSB,SMAL
MSNG,SMAL
MSRS,SMAL
MSST,SMAL
MSTT,SMAL
MTLRP,SMAL
MTSS,SMAL
MVID,SMAL
NAUK,SMAL
NFAZ,SMAL
NKHP,SMAL
NKNC,SMAL
NKNCP,SMAL
NKSH,SMAL
NLMK,SMAL
NMTP,SMAL
NSVZ,SMAL
OBUV,SMAL
ODVA,SMAL
OGKB,SMAL
OKEY,SMAL
PIKK,SMAL
PMSB,SMAL
PMSBP,SMAL
POGR,SMAL
PRFN,SMAL
RASP,SMAL
RAVN,SMAL
RBCM,SMAL
RDRB,SMAL
RGSS,SMAL
RLMN,SMAL
RLMNP,SMAL
ROLO,SMAL
ROSB,SMAL
ROSN,SMAL
ROST,SMAL
RSTI,SMAL
RSTIP,SMAL
RTKM,SMAL
RTKMP,SMAL
RTSB,SMAL
RTSBP,SMAL
RU000A0ERGA7,SMAL
RU000A0JNUW0,SMAL
RU000A0JPGC6,SMAL
RU000A0JPLG7,SMAL
RU000A0JPZL7,SMAL
RU000A0JR282,SMAL
RU000A0JR2A5,SMAL
RU000A0JR2C1,SMAL
RU000A0JT7G9,SMAL
RU000A0JX2H2,SMAL
RUAL,SMAL
RUGR,SMAL
RUSI,SMAL
RUSP,SMAL
RZSB,SMAL
SAGO,SMAL
SAGOP,SMAL
SARE,SMAL
SAREP,SMAL
SBER,SMAL
SBERP,SMAL
SELG,SMAL
SELGP,SMAL
SFIN,SMAL
SIBG,SMAL
SIBN,SMAL
SLEN,SMAL
SNGS,SMAL
SNGSP,SMAL
STSB,SMAL
STSBP,SMAL
SVAV,SMAL
SVET,SMAL
TASB,SMAL
TASBP,SMAL
TGKA,SMAL
TGKB,SMAL
TGKBP,SMAL
TGKD,SMAL
TGKDP,SMAL
TGKN,SMAL
TORS,SMAL
TORSP,SMAL
TRFM,SMAL
TRMK,SMAL
TTLK,SMAL
TUCH,SMAL
TUZA,SMAL
UNAC,SMAL
UPRO,SMAL
URKA,SMAL
USBN,SMAL
UTAR,SMAL
VGSB,SMAL
VGSBP,SMAL
VJGZP,SMAL
VLHZ,SMAL
VRSB,SMAL
VRSBP,SMAL
VTBR,SMAL
VZRZP,SMAL
WTCM,SMAL
WTCMP,SMAL
YAKG,SMAL
YKEN,SMAL
YKENP,SMAL
YRSB,SMAL
YRSBP,SMAL
